customerName,order_count
"Euro Shopping Channel",259
"Mini Gifts Distributors Ltd.",180
"Australian Collectors, Co.",55
"La Rochelle Gifts",53
"AV Stores, Co.",51
"Land of Toys Inc.",49
"Rovelli Gifts",48
"Muscle Machine Inc",48
"Souveniers And Things Co.",46
"Anna's Decorations, Ltd",46
"Dragon Souveniers, Ltd.",43
"Reims Collectables",41
"Corporate Gift Ideas Co.",41
"Saveley & Henriot, Co.",41
"The Sharp Gifts Warehouse",40
"Salzburg Collectables",40
"L'ordine Souveniers",39
"Scandinavian Gift Ideas",38
"Handji Gifts& Co",36
"Danish Wholesale Imports",36
"Mini Creations Ltd.",35
"Technics Stores Inc.",34
"Online Diecast Creations Co.",34
"Oulu Toy Supplies, Inc.",32
"Baane Mini Imports",32
"Corrida Auto Replicas, Ltd",32
"Tokyo Collectables, Ltd",32
"Diecast Classics Inc.",31
"Vida Sport, Ltd",31
Toys4GrownUps.com,30
"Toys of Finland, Co.",30
"Suominen Souveniers",30
"Herkku Gifts",29
"Signal Gift Stores",29
"UK Collectables, Ltd.",29
"Marta's Replicas Co.",27
"Heintze Collectables",27
"Auto Canal Petit",27
"Mini Classics",26
"Stylish Desk Decors, Co.",26
Gifts4AllAges.com,26
giftsbymail.co.uk,26
"Cruz & Sons Co.",26
FunGiftIdeas.com,26
"Toms Spezialitten, Ltd",26
"Amica Models & Co.",26
"Royal Canadian Collectables, Ltd.",26
"Vitachrome Inc.",25
"Gift Depot Inc.",25
"Collectable Mini Designs Co.",25
"Petit Auto",25
"Marseille Mini Autos",25
"Collectables For Less Inc.",24
"Norway Gifts By Mail, Co.",24
"Enaco Distributors",23
"Motor Mint Distributors Inc.",23
"La Corne D'abondance, Co.",23
"Australian Collectables, Ltd",23
"Quebec Home Shopping Network",22
"Canadian Gift Exchange Network",22
"Blauer See Auto, Co.",22
"Mini Wheels Co.",21
"Tekni Collectables Inc.",21
"Classic Gift Ideas, Inc",21
"Daedalus Designs Imports",20
"Lyon Souveniers",20
"Osaka Souveniers Co.",20
"Alpha Cognac",20
"Classic Legends Inc.",20
"Mini Caravy",19
"Volvo Model Replicas, Co",19
"Gift Ideas Corp.",19
"Auto Assoc. & Cie.",18
"Diecast Collectables",18
"Super Scale Inc.",17
"Clover Collections, Co.",16
"Mini Auto Werke",15
"Australian Gift Network, Co",15
"Signal Collectibles Ltd.",15
"Online Mini Collectables",15
"Iberia Gift Imports, Corp.",15
"Men 'R' US Retailers, Ltd.",14
"Bavarian Collectables Imports, Co.",14
"CAF Imports",13
"West Coast Collectables Co.",13
"Double Decker Gift Stores, Ltd",12
"Cambridge Collectables Co.",11
"Microscale Inc.",10
"Auto-Moto Classics Inc.",8
"Royale Belge",8
"Atelier graphique",7
"Boards & Toys Co.",3
